adgroup_id,group_name,campaign_id,campaign_name,group_status,n_excl,n_console,n_ours
grp-a001-02-000000046072553,"03. 아이폰15",cmp-a001-02-000000008723288,"● 05. 아이폰_사생활보호",on,24,24,0
grp-a001-02-000000046437508,"10. A16",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,24,24,0
grp-a001-02-000000055116682,"벌크5",cmp-a001-02-000000008339814,"● 11. 벌크",on,23,23,0
grp-a001-02-000000062947041,"S26플러스",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,23,23,0
grp-a001-02-000000046161213,"01. 갤럭시탭S8_종이질감",cmp-a001-02-000000008551921,"● 06. 갤럭시탭_종이질감_M",on,22,22,0
grp-a001-02-000000059832147,"폴드7",cmp-a001-02-000000010164717,"● 01. 갤럭시_지문방지_사생활",on,21,21,0
grp-a001-02-000000070523694,"Z플립8",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,21,21,0
grp-a001-02-000000044744110,"09. 아이폰X 시리즈",cmp-a001-02-000000008514959,"● [P_삭제금지]04. 아이폰_지문방지",on,20,20,0
grp-a001-02-000000044300450,"06. 53/A73",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,19,19,0
grp-a001-02-000000044743917,"05. 아이폰14 시리즈",cmp-a001-02-000000008514959,"● [P_삭제금지]04. 아이폰_지문방지",on,19,19,0
grp-a001-02-000000046224017,"01. 갤럭시탭S8_지문방지",cmp-a001-02-000000008757089,"● 06. 갤럭시탭_지문방지",on,19,19,0
grp-a001-02-000000054537533,"노트20울트라",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,19,19,0
grp-a001-02-000000044300513,"05. A54(퀀텀4)",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,18,18,0
grp-a001-02-000000049354013,"01. 아이패드에어6,7세대 13인치",cmp-a001-02-000000008883273,"● 07. 아이패드_블루라이트",on,16,16,0
grp-a001-02-000000044744526,"10. 아이폰 SE2/SE3",cmp-a001-02-000000008514959,"● [P_삭제금지]04. 아이폰_지문방지",on,15,15,0
grp-a001-02-000000059819724,"S25울트라",cmp-a001-02-000000010164717,"● 01. 갤럭시_지문방지_사생활",on,15,15,0
grp-a001-02-000000059830952,"Z플립7",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,15,15,0
grp-a001-02-000000059832150,"플립7",cmp-a001-02-000000010164717,"● 01. 갤럭시_지문방지_사생활",on,15,15,0
grp-a001-02-000000045025483,"노트20",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,14,14,0
grp-a001-02-000000054537529,"S23울트라",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,14,14,0
grp-a001-02-000000059820923,"S23울트라",cmp-a001-02-000000010164717,"● 01. 갤럭시_지문방지_사생활",on,14,14,0
grp-a001-02-000000044300027,"09. A23/A33",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,13,13,0
grp-a001-02-000000045329157,"01. 갤럭시탭S10_종이질감",cmp-a001-02-000000008551921,"● 06. 갤럭시탭_종이질감_M",on,13,13,0
grp-a001-02-000000055116686,"벌크6",cmp-a001-02-000000008339814,"● 11. 벌크",on,13,13,0
grp-a001-02-000000045949118,"01. 갤럭시탭A9시리즈_종이질감",cmp-a001-02-000000008551921,"● 06. 갤럭시탭_종이질감_M",on,12,12,0
grp-a001-02-000000046224018,"01. 갤럭시탭S9/울트라_지문방지",cmp-a001-02-000000008757089,"● 06. 갤럭시탭_지문방지",on,12,12,0
grp-a001-02-000000047076946,"01. 갤럭시탭S9 시리즈",cmp-a001-02-000000008883255,"● 06. 갤럭시탭_6H_PET_BLC",on,12,12,0
grp-a001-02-000000046074559,"06. 아이폰12",cmp-a001-02-000000008723288,"● 05. 아이폰_사생활보호",on,11,11,0
grp-a001-02-000000046161215,"01. 갤럭시탭S7_종이질감",cmp-a001-02-000000008551921,"● 06. 갤럭시탭_종이질감_M",on,11,11,0
grp-a001-02-000000070523564,"Z폴드8와이드",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,11,11,0
grp-a001-02-000000046838302,"01. 갤럭시탭A9/플러스_지문방지",cmp-a001-02-000000008757089,"● 06. 갤럭시탭_지문방지",on,10,10,0
grp-a001-02-000000059811691,"S25플러스",cmp-a001-02-000000010164717,"● 01. 갤럭시_지문방지_사생활",on,10,10,0
grp-a001-02-000000045087060,"01. 갤럭시탭S6_종이질감",cmp-a001-02-000000008551921,"● 06. 갤럭시탭_종이질감_M",on,8,8,0
grp-a001-02-000000047076722,"01. 아이패드에어4/5세대10.9인치",cmp-a001-02-000000008883273,"● 07. 아이패드_블루라이트",on,8,8,0
grp-a001-02-000000047076723,"01. 아이패드10세대10.9인치",cmp-a001-02-000000008883273,"● 07. 아이패드_블루라이트",on,8,8,0
grp-a001-02-000000047077161,"01. 갤럭시탭S10 시리즈",cmp-a001-02-000000008883255,"● 06. 갤럭시탭_6H_PET_BLC",on,8,8,0
grp-a001-02-000000059821962,"Z폴드6",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,7,7,0
grp-a001-02-000000047076797,"01. 갤럭시탭S7시리즈",cmp-a001-02-000000008883255,"● 06. 갤럭시탭_6H_PET_BLC",on,5,5,0
grp-a001-02-000000058709325,"11. 아이폰7,8",cmp-a001-02-000000008514959,"● [P_삭제금지]04. 아이폰_지문방지",on,5,5,0
grp-a001-02-000000046125983,"01. 아이패드에어_6-7세대_11인치",cmp-a001-02-000000008740796,"● 07. 아이패드_종이질감",on,4,4,0
grp-a001-02-000000046126151,"01. 아이패드에어_4-5세대_10.9인치",cmp-a001-02-000000008740796,"● 07. 아이패드_종이질감",on,4,4,0
grp-a001-02-000000046126176,"01. 아이패드프로_7세대_13인치",cmp-a001-02-000000008740796,"● 07. 아이패드_종이질감",on,4,4,0
grp-a001-02-000000046126256,"01. 아이패드프로_3-4-5-6세대_11인치",cmp-a001-02-000000008740796,"● 07. 아이패드_종이질감",on,4,4,0
grp-a001-02-000000046126369,"01. 아이패드_10세대_10.9인치",cmp-a001-02-000000008740796,"● 07. 아이패드_종이질감",on,4,4,0
grp-a001-02-000000046126373,"01. 아이패드7-8-9세대_10.2인치",cmp-a001-02-000000008740796,"● 07. 아이패드_종이질감",on,4,4,0
grp-a001-02-000000055116677,"벌크4",cmp-a001-02-000000008339814,"● 11. 벌크",on,4,4,0
grp-a001-02-000000070992116,"플립8",cmp-a001-02-000000010164717,"● 01. 갤럭시_지문방지_사생활",on,4,4,0
grp-a001-02-000000044952305,"01. 갤럭시탭_종이질감_BULK",cmp-a001-02-000000008551921,"● 06. 갤럭시탭_종이질감_M",on,3,3,0
grp-a001-02-000000046223421,"01. 갤럭시탭S7/FE/플러스_지문방지",cmp-a001-02-000000008757089,"● 06. 갤럭시탭_지문방지",on,3,3,0
grp-a001-02-000000047076945,"01. 갤럭시탭S8시리즈",cmp-a001-02-000000008883255,"● 06. 갤럭시탭_6H_PET_BLC",on,3,3,0
grp-a001-02-000000055116659,"벌크1",cmp-a001-02-000000008339814,"● 11. 벌크",on,3,3,0
grp-a001-02-000000065140028,17E,cmp-a001-02-000000008514959,"● [P_삭제금지]04. 아이폰_지문방지",on,3,3,0
grp-a001-02-000000046224077,"01. 갤럭시탭S10/울트라_지문방지",cmp-a001-02-000000008757089,"● 06. 갤럭시탭_지문방지",on,2,2,0
grp-a001-02-000000046838304,"01. 갤럭시탭A8_지문방지",cmp-a001-02-000000008757089,"● 06. 갤럭시탭_지문방지",on,2,2,0
grp-a001-02-000000046838305,"01. 갤럭시탭A7/라이트_지문방지",cmp-a001-02-000000008757089,"● 06. 갤럭시탭_지문방지",on,2,2,0
grp-a001-02-000000047076738,"01. 아이패드프로3/4/5/6세대11/12.9인치",cmp-a001-02-000000008883273,"● 07. 아이패드_블루라이트",on,1,1,0
